d;x;y;z;z_lisse;pente;x_prime_lisse;y_prime_lisse;x_seconde_lisse;y_seconde_lisse;courbure
1170;211.01;370.16;3.92;3.92;-0.7;0.915833333;0.415833333;0.000822511;-0.001666667;-0.001836186
1171;211.93;370.57;3.91;3.91;-0.6;0.915833333;0.41;0.001147186;-0.003571429;-0.003703062
1172;212.84;370.98;3.91;3.91;-0.6;0.908333333;0.405;0.000757576;-0.004047619;-0.004049467
1173;213.75;371.38;3.9;3.90;-0.7;0.915;0.399166667;0.000649351;-0.002380952;-0.002450407
1174;214.67;371.78;3.89;3.89;-0.6;0.921666667;0.4;0.000757576;-0.001190476;-0.001380596
1175;215.59;372.18;3.89;3.89;-0.6;0.914166667;0.4;0.000541126;5.41366E-15;-0.000217854
1176;216.5;372.58;3.88;3.88;-0.7;0.914166667;0.4;6.49351E-05;-5.41366E-15;-2.61424E-05
1177;217.42;372.98;3.87;3.87;-0.6;0.921666667;0.4;-1.9686E-15;-1.6241E-14;-1.39823E-14
1178;218.34;373.38;3.87;3.87;-0.6;0.914166667;0.4;-6.49351E-05;-5.41366E-15;2.61424E-05
1179;219.25;373.78;3.86;3.86;-0.7;0.914166667;0.4;6.49351E-05;1.08273E-14;-2.61424E-05
1180;220.17;374.18;3.85;3.85;-0.6;0.921666667;0.4;-1.9686E-15;5.41366E-15;5.69593E-15
1181;221.09;374.58;3.85;3.85;-0.6;0.914166667;0.4;0.001753247;-5.41366E-15;-0.000705846
1182;222;374.98;3.84;3.84;-0.7;0.914166667;0.4;0.004155844;-0.008333333;-0.009340565
1183;222.92;375.38;3.83;3.83;-0.6;0.919166667;0.405833333;0.006450216;-0.020238095;-0.020918948
1184;223.84;375.78;3.83;3.83;-0.6;0.929166667;0.3675;0.007792208;-0.027142857;-0.028151117
1185;224.78;376.11;3.82;3.82;-0.9;0.945833333;0.309166667;0.007251082;-0.025238095;-0.026502053
1186;225.73;376.41;3.81;3.81;-0.9;0.956666667;0.2975;0.005497835;-0.014285714;-0.015217341
1187;226.69;376.71;3.8;3.80;-0.6;0.955833333;0.299166667;0.003116883;-0.002380952;-0.003193314
1188;227.64;377.01;3.8;3.80;-0.6;0.948333333;0.305833333;0.000606061;0.00047619;0.000269107
1189;228.59;377.32;3.79;3.79;-0.9;0.955833333;0.305833333;6.49351E-05;-0.00047619;-0.000469968
1190;229.55;377.62;3.78;3.78;-0.9;0.955833333;0.299166667;-6.49351E-05;-0.001190476;-0.00111326
1191;230.5;377.92;3.77;3.77;-0.6;0.948333333;0.3;0;-0.001190476;-0.001147271
1192;231.45;378.22;3.77;3.77;-0.6;0.955833333;0.3;6.49351E-05;1.08273E-14;-1.93753E-05
1193;232.41;378.52;3.76;3.76;-0.9;0.955833333;0.3;0.001147186;-5.41366E-15;-0.000342297
1194;233.36;378.82;3.75;3.75;-0.9;0.948333333;0.3;0.003333333;-0.008333333;-0.009047107
1195;234.31;379.12;3.74;3.74;-0.6;0.954166667;0.305833333;0.004718615;-0.019047619;-0.019501523
1196;235.27;379.42;3.74;3.74;-0.6;0.965;0.266666667;0.004848485;-0.024761905;-0.025100161
1197;236.24;379.65;3.73;3.73;-0.7;0.975833333;0.214166667;0.004718615;-0.022380952;-0.022915307
